uniqueID,movie_name,num_trailers,trailer_id,video_url,video_title,channel,official,teaser,days_diff,trailer_release,trailer_view,trailer_like,trailer_comment,most_recent,oldest,most_liked,most_viewed,most_comment,invalid_trailer
0,Avengers: Endgame,2,0,https://www.youtube.com/watch?v=TcMBFSGVi1c,Marvel Studios' Avengers: Endgame - Official Trailer,Marvel Entertainment,1,0,-43,3/14/2019,153515424,3385792,TO-DO,1,0,1,1,TO-DO,1
0,Avengers: Endgame,2,1,https://www.youtube.com/watch?v=hA6hldpSTF8,Marvel Studios' Avengers - Official Trailer,Marvel Entertainment,1,0,-140,12/7/2018,107347927,3365646,TO-DO,0,1,0,0,TO-DO,1
1,Spider-Man: No Way Home,2,0,https://www.youtube.com/watch?v=JfVOs4VSpmA,SPIDER-MAN: NO WAY HOME - Official Trailer (HD),Sony Pictures Entertainment,1,0,-31,11/16/2021,78873476,2953881,TO-DO,1,0,0,0,TO-DO,1
1,Spider-Man: No Way Home,2,1,https://www.youtube.com/watch?v=rt-2cxAiPJk,SPIDER-MAN: NO WAY HOME - Official Teaser Trailer (HD),Sony Pictures Entertainment,0,1,-116,8/23/2021,88671008,3008744,TO-DO,0,1,1,1,TO-DO,1
2,Avengers: Infinity War,2,0,https://www.youtube.com/watch?v=6ZfuNTqbHE8,Marvel Studios' Avengers: Infinity War Official Trailer,Marvel Entertainment,1,0,-149,11/29/2017,257335708,4083701,TO-DO,0,0,1,1,TO-DO,1
2,Avengers: Infinity War,2,1,https://www.youtube.com/watch?v=QwievZ1Tx-8,Marvel Studios' Avengers: Infinity War - Official Trailer,Marvel Entertainment,1,0,-42,3/16/2018,105812414,1993870,TO-DO,1,1,0,0,TO-DO,1
3,Star Wars: Episode VII - The Force Awakens,3,0,https://www.youtube.com/watch?v=sGbxmsDFVnE,Star Wars: The Force Awakens Trailer (Official),Star Wars,1,0,-60,10/19/2015,109151640,796063,TO-DO,1,0,1,1,TO-DO,1
3,Star Wars: Episode VII - The Force Awakens,3,1,https://www.youtube.com/watch?v=erLk59H86ww,Star Wars: The Force Awakens Official Teaser,Star Wars,0,1,-385,11/28/2014,25654885,177513,TO-DO,0,0,0,0,TO-DO,1
3,Star Wars: Episode VII - The Force Awakens,3,2,https://www.youtube.com/watch?v=ngElkyQ6Rhs,Star Wars: The Force Awakens Official Teaser #2,Star Wars,0,1,-246,4/16/2015,83230047,488668,TO-DO,0,1,0,0,TO-DO,1
4,Star Wars: Episode VIII - The Last Jedi,2,0,https://www.youtube.com/watch?v=Q0CbN8sfihY,Star Wars: The Last Jedi Trailer (Official),Star Wars,1,0,-67,10/9/2017,57557804,794824,TO-DO,1,0,1,1,TO-DO,1
4,Star Wars: Episode VIII - The Last Jedi,2,1,https://www.youtube.com/watch?v=zB4I68XVPzQ,Star Wars: The Last Jedi Official Teaser,Star Wars,0,1,-245,4/14/2017,45716524,594946,TO-DO,0,1,0,0,TO-DO,1
5,Jurassic World,2,0,https://www.youtube.com/watch?v=RFinNxS5KN4,Jurassic World - Official Trailer (HD),Universal Pictures,1,0,-199,11/25/2014,92488872,369309,TO-DO,0,0,1,1,TO-DO,1
5,Jurassic World,2,1,https://www.youtube.com/watch?v=aJJrkyHas78,Jurassic World - Official Global Trailer (HD),Universal Pictures,1,0,-53,4/20/2015,30590304,123466,TO-DO,1,1,0,0,TO-DO,1
6,The Avengers,2,0,https://www.youtube.com/watch?v=eOrNdBpGMv8,Marvel's The Avengers- Trailer (OFFICIAL),Marvel Entertainment,1,0,-206,10/11/2011,37004684,306137,TO-DO,0,0,1,1,TO-DO,1
6,The Avengers,2,1,https://www.youtube.com/watch?v=hIR8Ar-Z4hw,Marvel's The Avengers Trailer 2 (OFFICIAL),Marvel Entertainment,1,0,-64,3/1/2012,7578991,52435,TO-DO,1,1,0,0,TO-DO,1
7,Black Panther,2,0,https://www.youtube.com/watch?v=xjDjIWPwcPU,Marvel Studios' Black Panther - Official Trailer,Marvel Entertainment,1,0,-123,10/16/2017,52553044,556419,TO-DO,1,0,0,1,TO-DO,1
7,Black Panther,2,1,https://www.youtube.com/watch?v=dxWvtMOGAhw,Black Panther Teaser Trailer [HD],Marvel Entertainment,0,1,-252,6/9/2017,44725181,575721,TO-DO,0,1,1,0,TO-DO,1
8,The Lion King,2,0,https://www.youtube.com/watch?v=4CbLXeGSDxg,The Lion King Official Teaser Trailer,Walt Disney Studios,0,1,-239,11/22/2018,72466564,1357679,TO-DO,0,0,1,0,TO-DO,1
