movie_name,video_url,video_title,channel,score,id,official_trailer,known_channels_used,official,teaser
Avengers: Endgame,https://www.youtube.com/watch?v=TcMBFSGVi1c,Marvel Studios' Avengers: Endgame - Official Trailer,Marvel Entertainment,1.0,1,1,1,1,
Avengers: Endgame,https://www.youtube.com/watch?v=hA6hldpSTF8,Marvel Studios' Avengers - Official Trailer,Marvel Entertainment,0.75,2,1,1,1,
Avengers: Endgame,https://www.youtube.com/watch?v=0jNvJU52LvU,Marvel Studios’ Avengers: Endgame | “To the End”,Marvel Entertainment,0.5,3,0,1,,
Avengers: Endgame,https://www.youtube.com/watch?v=KCSNFZKbhZE,Marvel Studios’ Avengers: Endgame | Special Look,Marvel Entertainment,0.5,4,0,1,,
Avengers: Endgame,https://www.youtube.com/watch?v=-iFq6IcAxBc,Marvel Studios' Avengers: Endgame - Big Game TV Spot,Marvel Entertainment,0.5,5,0,1,,
,,,,,,,,,
Spider-Man: No Way Home,https://www.youtube.com/watch?v=JfVOs4VSpmA,SPIDER-MAN: NO WAY HOME - Official Trailer (HD),Sony Pictures Entertainment,1.0,1,1,1,1,
Spider-Man: No Way Home,https://www.youtube.com/watch?v=rt-2cxAiPJk,SPIDER-MAN: NO WAY HOME - Official Teaser Trailer (HD),Sony Pictures Entertainment,1.0,2,1,1,,1
,,,,,,,,,
Avengers: Infinity War,https://www.youtube.com/watch?v=6ZfuNTqbHE8,Marvel Studios' Avengers: Infinity War Official Trailer,Marvel Entertainment,1.0,1,1,1,1,
Avengers: Infinity War,https://www.youtube.com/watch?v=QwievZ1Tx-8,Marvel Studios' Avengers: Infinity War - Official Trailer,Marvel Entertainment,1.0,2,1,1,1,
Avengers: Infinity War,https://www.youtube.com/watch?v=pVxOVlm_lE8,Marvel Studios’ Avengers: Infinity War - Big Game Spot,Marvel Entertainment,0.6,3,0,1,,
,,,,,,,,,
Star Wars: Episode VIII - The Last Jedi,https://www.youtube.com/watch?v=Q0CbN8sfihY,Star Wars: The Last Jedi Trailer (Official),Star Wars,0.78,1,1,1,1,
Star Wars: Episode VIII - The Last Jedi,https://www.youtube.com/watch?v=zB4I68XVPzQ,Star Wars: The Last Jedi Official Teaser,Star Wars,0.67,2,0,1,,1
,,,,,,,,,
Star Wars: Episode VII - The Force Awakens,https://www.youtube.com/watch?v=sGbxmsDFVnE,Star Wars: The Force Awakens Trailer (Official),Star Wars,0.78,1,1,1,1,
Star Wars: Episode VII - The Force Awakens,https://www.youtube.com/watch?v=erLk59H86ww,Star Wars: The Force Awakens Official Teaser,Star Wars,0.67,2,0,1,,1
Star Wars: Episode VII - The Force Awakens,https://www.youtube.com/watch?v=ngElkyQ6Rhs,Star Wars: The Force Awakens Official Teaser #2,Star Wars,0.67,3,0,1,,1
,,,,,,,,,
Beauty and the Beast,https://www.youtube.com/watch?v=e3Nl_TCQXuw,Beauty and the Beast – US Official Final Trailer,Walt Disney Studios,1.0,1,1,1,1,
Beauty and the Beast,https://www.youtube.com/watch?v=OvW_L8sTu5E,Beauty and the Beast US Official Trailer,Walt Disney Studios,1.0,2,1,1,1,
Beauty and the Beast,https://www.youtube.com/watch?v=c38r-SAnTWM,Beauty and the Beast Official US Teaser Trailer,Walt Disney Studios,1.0,3,1,1,,1
,,,,,,,,,
The Avengers,https://www.youtube.com/watch?v=eOrNdBpGMv8,Marvel's The Avengers- Trailer (OFFICIAL),Marvel Entertainment,1.0,1,1,1,1,
The Avengers,https://www.youtube.com/watch?v=hIR8Ar-Z4hw,Marvel's The Avengers Trailer 2 (OFFICIAL),Marvel Entertainment,1.0,2,1,1,1,
,,,,,,,,,
Jurassic World,https://www.youtube.com/watch?v=RFinNxS5KN4,Jurassic World - Official Trailer (HD),Universal Pictures,1.0,1,1,1,1,
Jurassic World,https://www.youtube.com/watch?v=aJJrkyHas78,Jurassic World - Official Global Trailer (HD),Universal Pictures,1.0,2,1,1,1,
,,,,,,,,,
Harry Potter and the Deathly Hallows: Part 2,https://www.youtube.com/watch?v=5NYt1qirBWg,Harry Potter and the Deathly Hallows - Part 2 Trailer 2,Warner Bros. Pictures,0.89,1,1,1,1,
Harry Potter and the Deathly Hallows: Part 2,https://www.youtube.com/watch?v=mObK5XD8udk,Harry Potter and the Deathly Hallows - Part 2 Trailer 1,Warner Bros. Pictures,0.89,2,1,1,1,
,,,,,,,,,
Jurassic World: Fallen Kingdom,https://www.youtube.com/watch?v=vn9mMeWcgoM,Jurassic World: Fallen Kingdom - Official Trailer [HD],Universal Pictures,1.0,1,1,1,1,
Jurassic World: Fallen Kingdom,https://www.youtube.com/watch?v=NooW_RbfdWI,Jurassic World: Fallen Kingdom - Official Trailer #2 [HD],Universal Pictures,1.0,2,1,1,1,
Jurassic World: Fallen Kingdom,https://www.youtube.com/watch?v=1FJD7jZqZEk,Jurassic World: Fallen Kingdom - Final Trailer [HD],Universal Pictures,0.83,3,1,1,1,
Jurassic World: Fallen Kingdom,https://www.youtube.com/watch?v=-hfwJfrqkOk,Jurassic World: Fallen Kingdom - Trailer Tonight (Remarkable) (HD),Universal Pictures,0.83,4,1,1,,
,,,,,,,,,
The Twilight Saga: New Moon,https://www.youtube.com/watch?v=q58iQSHhZGg,THE TWILIGHT SAGA: NEW MOON - Trailer,The Twilight Saga,0.86,1,1,1,1,
The Twilight Saga: New Moon,https://www.youtube.com/watch?v=SxBxqkMmzfI,THE TWILIGHT SAGA: NEW MOON - Teaser Trailer,The Twilight Saga,0.86,2,1,1,,1
,,,,,,,,,
Batman v Superman: Dawn of Justice,https://www.youtube.com/watch?v=0WWzgGyAH6Y,Batman v Superman: Dawn of Justice - Comic-Con Trailer [HD],Warner Bros. Pictures,0.86,1,1,1,,
Batman v Superman: Dawn of Justice,https://www.youtube.com/watch?v=fis-9Zqu2Ro,Batman v Superman: Dawn of Justice - Official Trailer 2 [HD],Warner Bros. Pictures,1.0,2,1,1,1,
Batman v Superman: Dawn of Justice,https://www.youtube.com/watch?v=IwfUnkBfdZ4,Batman v Superman: Dawn of Justice - Official Teaser Trailer [HD],Warner Bros. Pictures,1.0,3,1,1,,1
Batman v Superman: Dawn of Justice,https://www.youtube.com/watch?v=NhWg7AQLI_8,Batman v Superman: Dawn of Justice - Official Final Trailer [HD],Warner Bros. Pictures,1.0,4,1,1,1,
,,,,,,,,,
Jurassic World: Dominion,https://www.youtube.com/watch?v=fb5ELWi-ekk,Jurassic World Dominion - Official Trailer [HD],Universal Pictures,1.0,1,1,1,1,
Jurassic World: Dominion,https://www.youtube.com/watch?v=DtQycgMD4HQ,Jurassic World Dominion | Trailer 2 [HD],Universal Pictures,0.8,2,1,1,1,
,,,,,,,,,
Black Panther,https://www.youtube.com/watch?v=xjDjIWPwcPU,Marvel Studios' Black Panther - Official Trailer,Marvel Entertainment,1.0,1,1,1,1,
Black Panther,https://www.youtube.com/watch?v=dxWvtMOGAhw,Black Panther Teaser Trailer [HD],Marvel Entertainment,0.75,2,1,1,,1
,,,,,,,,,
The Twilight Saga: Breaking Dawn - Part 2,https://www.youtube.com/watch?v=5gRpIQfvNLA,THE TWILIGHT SAGA: BREAKING DAWN - PART 2 - Teaser Trailer,The Twilight Saga,0.88,1,1,1,,1
The Twilight Saga: Breaking Dawn - Part 2,https://www.youtube.com/watch?v=pXdOqpyN4ms,THE TWILIGHT SAGA: BREAKING DAWN - PART 2 - Teaser Trailer #2,The Twilight Saga,0.88,2,1,1,,1
