uniqueID,movie_name,video_url,video_title,channel,score,id,official,teaser,days_diff,need_extra_attention,need_to_select_trailer
0,Avengers: Endgame,https://www.youtube.com/watch?v=TcMBFSGVi1c,Marvel Studios' Avengers: Endgame - Official Trailer,Marvel Entertainment,1.0,1,1,,-43,0,0
0,Avengers: Endgame,https://www.youtube.com/watch?v=hA6hldpSTF8,Marvel Studios' Avengers - Official Trailer,Marvel Entertainment,0.75,2,1,,-140,0,0
0,Avengers: Endgame,https://www.youtube.com/watch?v=0jNvJU52LvU,Marvel Studios’ Avengers: Endgame | “To the End”,Marvel Entertainment,0.5,3,,,-10,0,0
0,Avengers: Endgame,https://www.youtube.com/watch?v=KCSNFZKbhZE,Marvel Studios’ Avengers: Endgame | Special Look,Marvel Entertainment,0.5,4,,,-24,0,0
0,Avengers: Endgame,https://www.youtube.com/watch?v=-iFq6IcAxBc,Marvel Studios' Avengers: Endgame - Big Game TV Spot,Marvel Entertainment,0.5,5,,,-82,0,0
,,,,,,,,,,,
1,Spider-Man: No Way Home,https://www.youtube.com/watch?v=JfVOs4VSpmA,SPIDER-MAN: NO WAY HOME - Official Trailer (HD),Sony Pictures Entertainment,1.0,1,1,,-31,0,0
1,Spider-Man: No Way Home,https://www.youtube.com/watch?v=rt-2cxAiPJk,SPIDER-MAN: NO WAY HOME - Official Teaser Trailer (HD),Sony Pictures Entertainment,1.0,2,,1,-116,0,0
,,,,,,,,,,,
2,Avengers: Infinity War,https://www.youtube.com/watch?v=6ZfuNTqbHE8,Marvel Studios' Avengers: Infinity War Official Trailer,Marvel Entertainment,1.0,1,1,,-149,0,0
2,Avengers: Infinity War,https://www.youtube.com/watch?v=QwievZ1Tx-8,Marvel Studios' Avengers: Infinity War - Official Trailer,Marvel Entertainment,1.0,2,1,,-42,0,0
2,Avengers: Infinity War,https://www.youtube.com/watch?v=pVxOVlm_lE8,Marvel Studios’ Avengers: Infinity War - Big Game Spot,Marvel Entertainment,0.6,3,,,-82,0,0
,,,,,,,,,,,
4,Star Wars: Episode VIII - The Last Jedi,https://www.youtube.com/watch?v=Q0CbN8sfihY,Star Wars: The Last Jedi Trailer (Official),Star Wars,0.78,1,1,,-67,0,0
4,Star Wars: Episode VIII - The Last Jedi,https://www.youtube.com/watch?v=zB4I68XVPzQ,Star Wars: The Last Jedi Official Teaser,Star Wars,0.67,2,,1,-245,0,0
,,,,,,,,,,,
