uniqueID,movie_name,num_trailers,trailer_id,video_url,video_title,channel,official,teaser,days_diff,trailer_release,trailer_view,trailer_like,trailer_comment,most_recent,oldest,most_liked,most_viewed,most_comment
0,Avengers: Endgame,2,0,https://www.youtube.com/watch?v=TcMBFSGVi1c,Marvel Studios' Avengers: Endgame - Official Trailer,Marvel Entertainment,1,,-43,3/14/2019,153817402,3388847,262164,1,0,1,1,0
0,Avengers: Endgame,2,1,https://www.youtube.com/watch?v=hA6hldpSTF8,Marvel Studios' Avengers - Official Trailer,Marvel Entertainment,1,,-140,12/7/2018,107481220,3366631,277605,0,1,0,0,1
1,Spider-Man: No Way Home,2,0,https://www.youtube.com/watch?v=JfVOs4VSpmA,SPIDER-MAN: NO WAY HOME - Official Trailer (HD),Sony Pictures Entertainment,1,,-31,11/16/2021,79075765,2954902,178179,1,0,0,0,1
1,Spider-Man: No Way Home,2,1,https://www.youtube.com/watch?v=rt-2cxAiPJk,SPIDER-MAN: NO WAY HOME - Official Teaser Trailer (HD),Sony Pictures Entertainment,,1,-116,8/23/2021,88743392,3008784,171620,0,1,1,1,0
2,Avengers: Infinity War,2,0,https://www.youtube.com/watch?v=6ZfuNTqbHE8,Marvel Studios' Avengers: Infinity War Official Trailer,Marvel Entertainment,1,,-149,11/29/2017,257625681,4087584,458039,0,0,1,1,1
2,Avengers: Infinity War,2,1,https://www.youtube.com/watch?v=QwievZ1Tx-8,Marvel Studios' Avengers: Infinity War - Official Trailer,Marvel Entertainment,1,,-42,3/16/2018,105928999,1994879,178584,1,1,0,0,0
3,Star Wars: Episode VII - The Force Awakens,3,0,https://www.youtube.com/watch?v=sGbxmsDFVnE,Star Wars: The Force Awakens Trailer (Official),Star Wars,1,,-60,10/19/2015,109238766,797028,114093,1,0,1,1,1
3,Star Wars: Episode VII - The Force Awakens,3,1,https://www.youtube.com/watch?v=erLk59H86ww,Star Wars: The Force Awakens Official Teaser,Star Wars,,1,-385,11/28/2014,25713296,178667,23583,0,0,0,0,0
3,Star Wars: Episode VII - The Force Awakens,3,2,https://www.youtube.com/watch?v=ngElkyQ6Rhs,Star Wars: The Force Awakens Official Teaser #2,Star Wars,,1,-246,4/16/2015,83244372,488786,54425,0,1,0,0,0
4,Star Wars: Episode VIII - The Last Jedi,2,0,https://www.youtube.com/watch?v=Q0CbN8sfihY,Star Wars: The Last Jedi Trailer (Official),Star Wars,1,,-67,10/9/2017,57603132,795071,87666,1,0,1,1,1
4,Star Wars: Episode VIII - The Last Jedi,2,1,https://www.youtube.com/watch?v=zB4I68XVPzQ,Star Wars: The Last Jedi Official Teaser,Star Wars,,1,-245,4/14/2017,45717317,595019,46505,0,1,0,0,0
5,Jurassic World,2,0,https://www.youtube.com/watch?v=RFinNxS5KN4,Jurassic World - Official Trailer (HD),Universal Pictures,1,,-199,11/25/2014,92531541,369562,47144,0,0,1,1,1
5,Jurassic World,2,1,https://www.youtube.com/watch?v=aJJrkyHas78,Jurassic World - Official Global Trailer (HD),Universal Pictures,1,,-53,4/20/2015,30594389,123484,12879,1,1,0,0,0
6,The Avengers,2,0,https://www.youtube.com/watch?v=eOrNdBpGMv8,Marvel's The Avengers- Trailer (OFFICIAL),Marvel Entertainment,1,,-206,10/11/2011,37035857,306509,42630,0,0,1,1,1
6,The Avengers,2,1,https://www.youtube.com/watch?v=hIR8Ar-Z4hw,Marvel's The Avengers Trailer 2 (OFFICIAL),Marvel Entertainment,1,,-64,3/1/2012,7589830,52572,6825,1,1,0,0,0
7,Black Panther,2,0,https://www.youtube.com/watch?v=xjDjIWPwcPU,Marvel Studios' Black Panther - Official Trailer,Marvel Entertainment,1,,-123,10/16/2017,52670504,557055,55127,1,0,0,1,1
7,Black Panther,2,1,https://www.youtube.com/watch?v=dxWvtMOGAhw,Black Panther Teaser Trailer [HD],Marvel Entertainment,,1,-252,6/9/2017,44754023,575937,47722,0,1,1,0,0
8,The Lion King,2,0,https://www.youtube.com/watch?v=4CbLXeGSDxg,The Lion King Official Teaser Trailer,Walt Disney Studios,,1,-239,11/22/2018,72563538,1358002,0,0,0,1,0,1
8,The Lion King,2,1,https://www.youtube.com/watch?v=7TavVZMewpY,The Lion King Official Trailer,Walt Disney Studios,1,,-100,4/10/2019,73790767,778269,0,1,1,0,1,0
9,Avengers: Age of Ultron,3,0,https://www.youtube.com/watch?v=tmeOjFno6Do,Marvel's "Avengers: Age of Ultron" - Teaser Trailer (OFFICIAL),Marvel Entertainment,,1,-191,10/22/2014,92905699,737720,83222,0,0,1,1,1
9,Avengers: Age of Ultron,3,1,https://www.youtube.com/watch?v=JAUoeqvedMo,Marvel's Avengers: Age of Ultron - Trailer 3,Marvel Entertainment,1,,-58,3/4/2015,47179071,229618,25770,1,0,0,0,0
9,Avengers: Age of Ultron,3,2,https://www.youtube.com/watch?v=MZoO8QVMxkk,New Avengers Trailer Arrives - Marvel's Avengers: Age of Ultron Trailer 2,Marvel Entertainment,1,,-109,1/12/2015,43891226,211777,19558,0,1,0,0,0
10,Doctor Strange in the Multiverse of Madness,4,0,https://www.youtube.com/watch?v=aWzlQ2N6qqg,Marvel Studios' Doctor Strange in the Multiverse of Madness | Official Trailer,Marvel Entertainment,1,,-82,2/13/2022,62155636,2117154,89375,0,0,1,1,1
10,Doctor Strange in the Multiverse of Madness,4,1,https://www.youtube.com/watch?v=Rt_UqUm38BI,Marvel Studios' Doctor Strange in the Multiverse of Madness | Official Teaser,Marvel Entertainment,,1,-135,12/22/2021,42007868,1703587,50099,0,0,0,0,0
10,Doctor Strange in the Multiverse of Madness,4,2,https://www.youtube.com/watch?v=NLTYw1s4e-8,Marvel Studios' Doctor Strange in the Multiverse of Madness | Dream,Marvel Entertainment,1,,-30,4/6/2022,8843208,360592,8544,0,0,0,0,0
10,Doctor Strange in the Multiverse of Madness,4,3,https://www.youtube.com/watch?v=Rf8LAYJSOL8,Marvel Studios’ Doctor Strange in the Multiverse of Madness | Final Trailer,Marvel Entertainment,1,,-2,5/4/2022,5912057,225558,0,1,1,0,0,0
11,Incredibles 2,2,0,https://www.youtube.com/watch?v=i5qOzqD9Rms,Incredibles 2 Official Trailer,Pixar,1,,-63,4/13/2018,164204103,486329,0,1,0,0,1,1
11,Incredibles 2,2,1,https://www.youtube.com/watch?v=ZJDMWVZta3M,Incredibles 2 Official Teaser Trailer,Pixar,,1,-209,11/18/2017,90037844,521582,0,0,1,1,0,0
12,Black Panther: Wakanda Forever,2,0,https://www.youtube.com/watch?v=_Z3QKkl1WyM,Marvel Studios’ Black Panther: Wakanda Forever | Official Trailer,Marvel Entertainment,1,,-39,10/3/2022,40371424,966449,44940,1,0,0,0,0
12,Black Panther: Wakanda Forever,2,1,https://www.youtube.com/watch?v=RlOB3UALvrQ,Marvel Studios’ Black Panther: Wakanda Forever | Official Teaser,Marvel Entertainment,,1,-111,7/23/2022,43866385,1513074,67803,0,1,1,1,1
13,Captain America: Civil War,3,0,https://www.youtube.com/watch?v=dKrVegVI0Us,Marvel's Captain America: Civil War - Trailer 2,Marvel Entertainment,1,,-57,3/10/2016,88258354,799830,128515,1,0,1,1,1
13,Captain America: Civil War,3,1,https://www.youtube.com/watch?v=0L7iH3foZU0,Marvel's Captain America: Civil War - Big Game Spot,Marvel Entertainment,,1,-89,2/7/2016,8506654,72421,12516,0,0,0,0,0
13,Captain America: Civil War,3,2,https://www.youtube.com/watch?v=43NWzay3W4s,The Civil War Begins – 1st Trailer for Marvel’s “Captain America: Civil War”,Marvel Entertainment,1,,-164,11/24/2015,12634704,157811,15927,0,1,0,0,0
14,Star Wars: Episode IX - The Rise of Skywalker,2,0,https://www.youtube.com/watch?v=8Qn_spdM5Zg,Star Wars: The Rise of Skywalker | Final Trailer,Star Wars,1,,-60,10/21/2019,49051420,675052,82765,1,0,1,1,1
14,Star Wars: Episode IX - The Rise of Skywalker,2,1,https://www.youtube.com/watch?v=adzYW5DZoWs,Star Wars: The Rise of Skywalker – Teaser,Star Wars,,1,-252,4/12/2019,36502193,597211,65695,0,1,0,0,0
15,Beauty and the Beast,3,0,https://www.youtube.com/watch?v=e3Nl_TCQXuw,Beauty and the Beast – US Official Final Trailer,Walt Disney Studios,1,,-46,1/30/2017,38777777,303540,0,1,0,0,1,0
15,Beauty and the Beast,3,1,https://www.youtube.com/watch?v=OvW_L8sTu5E,Beauty and the Beast US Official Trailer,Walt Disney Studios,1,,-123,11/14/2016,38092650,325038,0,0,0,1,0,0
15,Beauty and the Beast,3,2,https://www.youtube.com/watch?v=c38r-SAnTWM,Beauty and the Beast Official US Teaser Trailer,Walt Disney Studios,,1,-298,5/23/2016,22776283,158721,16777,0,1,0,0,1
16,Iron Man 3,2,0,https://www.youtube.com/watch?v=YLorLVa95Xo,Marvel's Iron Man 3 Domestic Trailer 2 (OFFICIAL),Marvel Entertainment,1,,-58,3/6/2013,4715178,26238,2906,1,0,1,1,1
16,Iron Man 3,2,1,https://www.youtube.com/watch?v=f_h95mEd4TI,Marvel's Iron Man 3 Domestic Trailer (OFFICIAL),Marvel Entertainment,1,,-192,10/23/2012,964409,7306,1333,0,1,0,0,0
17,Harry Potter and the Deathly Hallows: Part 2,2,0,https://www.youtube.com/watch?v=5NYt1qirBWg,Harry Potter and the Deathly Hallows - Part 2 Trailer 2,Warner Bros. Pictures,1,,-29,6/16/2011,12233952,86434,22031,1,0,1,0,0
17,Harry Potter and the Deathly Hallows: Part 2,2,1,https://www.youtube.com/watch?v=mObK5XD8udk,Harry Potter and the Deathly Hallows - Part 2 Trailer 1,Warner Bros. Pictures,1,,-79,4/27/2011,13398033,81632,25464,0,1,0,1,1
18,Batman v Superman: Dawn of Justice,3,0,https://www.youtube.com/watch?v=fis-9Zqu2Ro,Batman v Superman: Dawn of Justice - Official Trailer 2 [HD],Warner Bros. Pictures,1,,-114,12/2/2015,30363163,193864,43076,0,0,0,0,0
18,Batman v Superman: Dawn of Justice,3,1,https://www.youtube.com/watch?v=IwfUnkBfdZ4,Batman v Superman: Dawn of Justice - Official Teaser Trailer [HD],Warner Bros. Pictures,,1,-343,4/17/2015,57719658,330662,47538,0,0,1,1,1
18,Batman v Superman: Dawn of Justice,3,2,https://www.youtube.com/watch?v=NhWg7AQLI_8,Batman v Superman: Dawn of Justice - Official Final Trailer [HD],Warner Bros. Pictures,1,,-40,2/14/2016,8901768,52055,4186,1,1,0,0,0
19,The Dark Knight Rises,4,0,https://www.youtube.com/watch?v=g8evyE9TuYk,The Dark Knight Rises - Official Trailer #3 [HD],Warner Bros. Pictures,1,,-81,4/30/2012,36019624,149444,63272,0,0,1,1,1
19,The Dark Knight Rises,4,1,https://www.youtube.com/watch?v=z5Humz3ONgk,The Dark Knight Rises - Official Teaser Trailer [HD],Warner Bros. Pictures,,1,-368,7/18/2011,2466499,34061,2777,0,0,0,0,0
19,The Dark Knight Rises,4,2,https://www.youtube.com/watch?v=J9DlV9qwtF0,The Dark Knight Rises - Official Trailer #4 [HD],Warner Bros. Pictures,1,,-14,7/6/2012,3711105,13900,4321,1,0,0,0,0
19,The Dark Knight Rises,4,3,https://www.youtube.com/watch?v=7gFwvozMHR4,The Dark Knight Rises - Official Trailer #2 [HD],Warner Bros. Pictures,1,,-214,12/19/2011,4097492,20460,0,0,1,0,0,0
20,The Dark Knight,1,0,https://www.youtube.com/watch?v=A0ruIfT4GfU,The Dark Knight Theatrical Trailer,dimeraphoenix86,1,,-214,12/17/2007,102407,1550,294,1,1,1,1,1
21,The Hunger Games: Catching Fire,4,0,https://www.youtube.com/watch?v=MkvUNfySGQU,The Hunger Games: Catching Fire - Official Trailer,The Hunger Games,1,,-124,7/21/2013,3906960,28431,4151,0,0,0,0,0
21,The Hunger Games: Catching Fire,4,1,https://www.youtube.com/watch?v=zoKj7TdJk98,The Hunger Games: Catching Fire - EXCLUSIVE Final Trailer,The Hunger Games,1,,-26,10/27/2013,18373981,72051,12582,0,0,0,0,0
21,The Hunger Games: Catching Fire,4,2,https://www.youtube.com/watch?v=jyPnQw_Lqds,The Hunger Games: Catching Fire - Exclusive Teaser Trailer,The Hunger Games,,1,-222,4/14/2013,32500404,188730,43340,0,0,1,1,1
21,The Hunger Games: Catching Fire,4,3,https://www.youtube.com/watch?v=joPveEKnxaw,The Hunger Games: Catching Fire (2013) - Official Trailer #1,Lionsgate Movies,1,,-7,11/15/2013,129488,547,28,1,1,0,0,0
22,Rogue One: A Star Wars Story,3,0,https://www.youtube.com/watch?v=Wji-BZ0oCwg,ROGUE ONE: A STAR WARS STORY Official Teaser Trailer,Star Wars,,1,-253,4/7/2016,46043796,417284,81289,0,0,1,1,1
22,Rogue One: A Star Wars Story,3,1,https://www.youtube.com/watch?v=frdj1zb9sMY,Rogue One: A Star Wars Story Trailer (Official),Star Wars,1,,-127,8/11/2016,41479747,336575,50149,0,0,0,0,0
22,Rogue One: A Star Wars Story,3,2,https://www.youtube.com/watch?v=sC9abcLLQpI,Rogue One: A Star Wars Story Trailer #2 (Official),Star Wars,1,,-64,10/13/2016,28471606,232390,28745,1,1,0,0,0
