uniqueID,movie_name,url_bom,gross_dom,gross_int,gross_worldwide,distributor,opening_box,opening_theater,budget,release_start,release_end,mpaa,run_time,release_length,url_imdb,summary,success,user_raiting,user_reviews,critic_rating,critic_reviews,actors,writers,directors,Action,Adventure,Drama,Sci-Fi,Fantasy,Animation,Family,Musical,Horror,Comedy,Thriller,Romance,Mystery,Crime,War,Music,Sport,Biography,History,Documentary,Western,Film-Noir
0,Avengers: Endgame,https://www.boxofficemojo.com/release/rl3059975681/,858373000.0,1939128328.0,2797501328.0,Walt Disney Studios Motion Pictures,357115007.0,4662.0,356000000.0,4/26/2019,9/12/2019,PG-13,181.0,250.0,https://imdb.com/title/tt4154796,"After the devastating events of Avengers: Infinity War, the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",1,8.4,9535.0,78.0,596.0,"[('Robert Downey Jr.', 'https://m.imdb.com/name/nm0000375/'), ('Chris Evans', 'https://m.imdb.com/name/nm0262635/'), ('Mark Ruffalo', 'https://m.imdb.com/name/nm0749263/'), ('Chris Hemsworth', 'https://m.imdb.com/name/nm1165110/'), ('Scarlett Johansson', 'https://m.imdb.com/name/nm0424060/'), ('Jeremy Renner', 'https://m.imdb.com/name/nm0719637/'), ('Don Cheadle', 'https://m.imdb.com/name/nm0000332/'), ('Paul Rudd', 'https://m.imdb.com/name/nm0748620/'), ('Benedict Cumberbatch', 'https://m.imdb.com/name/nm1212722/'), ('Chadwick Boseman', 'https://m.imdb.com/name/nm1569276/'), ('Brie Larson', 'https://m.imdb.com/name/nm0488953/'), ('Tom Holland', 'https://m.imdb.com/name/nm4043618/'), ('Karen Gillan', 'https://m.imdb.com/name/nm2394794/'), ('Zoe Saldana', 'https://m.imdb.com/name/nm0757855/'), ('Evangeline Lilly', 'https://m.imdb.com/name/nm1431940/'), ('Tessa Thompson', 'https://m.imdb.com/name/nm1935086/'), ('Rene Russo', 'https://m.imdb.com/name/nm0000623/'), ('Elizabeth Olsen', 'https://m.imdb.com/name/nm0647634/')]","[('Christopher Markus', 'https://m.imdb.com/name/nm1321655/'), ('Stephen McFeely', 'https://m.imdb.com/name/nm1321656/'), ('Stan Lee', 'https://m.imdb.com/name/nm0498278/')]","[('Anthony Russo', 'https://m.imdb.com/name/nm0751577/'), ('Joe Russo', 'https://m.imdb.com/name/nm0751648/')]",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Spider-Man: No Way Home,https://www.boxofficemojo.com/release/rl2869659137/,804793477.0,1101900000.0,1906693477.0,Sony Pictures Entertainment (SPE),260138569.0,4336.0,,12/17/2021,6/30/2022,PG-13,148.0,361.0,https://imdb.com/title/tt10872600,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",1,8.3,6100.0,71.0,419.0,"[('Tom Holland', 'https://m.imdb.com/name/nm4043618/'), ('Zendaya', 'https://m.imdb.com/name/nm3918035/'), ('Benedict Cumberbatch', 'https://m.imdb.com/name/nm1212722/'), ('Jacob Batalon', 'https://m.imdb.com/name/nm8188622/'), ('Jon Favreau', 'https://m.imdb.com/name/nm0269463/'), ('Jamie Foxx', 'https://m.imdb.com/name/nm0004937/'), ('Willem Dafoe', 'https://m.imdb.com/name/nm0000353/'), ('Alfred Molina', 'https://m.imdb.com/name/nm0000547/'), ('Benedict Wong', 'https://m.imdb.com/name/nm0938950/'), ('Tony Revolori', 'https://m.imdb.com/name/nm1727825/'), ('Marisa Tomei', 'https://m.imdb.com/name/nm0000673/'), ('Andrew Garfield', 'https://m.imdb.com/name/nm1940449/'), ('Tobey Maguire', 'https://m.imdb.com/name/nm0001497/'), ('Angourie Rice', 'https://m.imdb.com/name/nm3886028/'), ('Arian Moayed', 'https://m.imdb.com/name/nm1573892/'), ('Paula Newsome', 'https://m.imdb.com/name/nm0628420/'), ('Hannibal Buress', 'https://m.imdb.com/name/nm2868110/'), ('Martin Starr', 'https://m.imdb.com/name/nm0771414/')]","[('Chris McKenna', 'https://m.imdb.com/name/nm0571344/'), ('Erik Sommers', 'https://m.imdb.com/name/nm1273099/'), ('Stan Lee', 'https://m.imdb.com/name/nm0498278/')]","[('Jon Watts', 'https://m.imdb.com/name/nm1218281/')]",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Avengers: Infinity War,https://www.boxofficemojo.com/release/rl3043198465/,678815482.0,1369544272.0,2048359754.0,Walt Disney Studios Motion Pictures,257698183.0,4474.0,,4/27/2018,9/13/2018,PG-13,149.0,249.0,https://imdb.com/title/tt4154756,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,1,8.4,4562.0,68.0,630.0,"[('Robert Downey Jr.', 'https://m.imdb.com/name/nm0000375/'), ('Chris Hemsworth', 'https://m.imdb.com/name/nm1165110/'), ('Mark Ruffalo', 'https://m.imdb.com/name/nm0749263/'), ('Chris Evans', 'https://m.imdb.com/name/nm0262635/'), ('Scarlett Johansson', 'https://m.imdb.com/name/nm0424060/'), ('Don Cheadle', 'https://m.imdb.com/name/nm0000332/'), ('Benedict Cumberbatch', 'https://m.imdb.com/name/nm1212722/'), ('Tom Holland', 'https://m.imdb.com/name/nm4043618/'), ('Chadwick Boseman', 'https://m.imdb.com/name/nm1569276/'), ('Zoe Saldana', 'https://m.imdb.com/name/nm0757855/'), ('Karen Gillan', 'https://m.imdb.com/name/nm2394794/'), ('Tom Hiddleston', 'https://m.imdb.com/name/nm1089991/'), ('Paul Bettany', 'https://m.imdb.com/name/nm0079273/'), ('Elizabeth Olsen', 'https://m.imdb.com/name/nm0647634/'), ('Anthony Mackie', 'https://m.imdb.com/name/nm1107001/'), ('Sebastian Stan', 'https://m.imdb.com/name/nm1659221/'), ('Idris Elba', 'https://m.imdb.com/name/nm0252961/'), ('Danai Gurira', 'https://m.imdb.com/name/nm1775091/')]","[('Christopher Markus', 'https://m.imdb.com/name/nm1321655/'), ('Stephen McFeely', 'https://m.imdb.com/name/nm1321656/'), ('Stan Lee', 'https://m.imdb.com/name/nm0498278/')]","[('Anthony Russo', 'https://m.imdb.com/name/nm0751577/'), ('Joe Russo', 'https://m.imdb.com/name/nm0751648/')]",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Star Wars: Episode VII - The Force Awakens,https://www.boxofficemojo.com/release/rl2691925505/,936662225.0,1131561399.0,2068223624.0,Walt Disney Studios Motion Pictures,247966675.0,4134.0,245000000.0,12/18/2015,6/2/2016,PG-13,138.0,380.0,https://imdb.com/title/tt2488496,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",1,7.8,5061.0,80.0,913.0,"[('Daisy Ridley', 'https://m.imdb.com/name/nm5397459/'), ('John Boyega', 'https://m.imdb.com/name/nm3915784/'), ('Oscar Isaac', 'https://m.imdb.com/name/nm1209966/'), ('Domhnall Gleeson', 'https://m.imdb.com/name/nm1727304/'), ('Harrison Ford', 'https://m.imdb.com/name/nm0000148/'), ('Mark Hamill', 'https://m.imdb.com/name/nm0000434/'), ('Carrie Fisher', 'https://m.imdb.com/name/nm0000402/'), ('Adam Driver', 'https://m.imdb.com/name/nm3485845/'), (""Lupita Nyong'o"", 'https://m.imdb.com/name/nm2143282/'), ('Andy Serkis', 'https://m.imdb.com/name/nm0785227/'), ('Anthony Daniels', 'https://m.imdb.com/name/nm0000355/'), ('Max von Sydow', 'https://m.imdb.com/name/nm0001884/'), ('Peter Mayhew', 'https://m.imdb.com/name/nm0562679/'), ('Gwendoline Christie', 'https://m.imdb.com/name/nm3729225/'), ('Joonas Suotamo', 'https://m.imdb.com/name/nm6934058/'), ('Pip Andersen', 'https://m.imdb.com/name/nm4024206/'), ('Simon Pegg', 'https://m.imdb.com/name/nm0670408/'), ('Kiran Shah', 'https://m.imdb.com/name/nm0787449/')]","[('Lawrence Kasdan', 'https://m.imdb.com/name/nm0001410/'), ('J.J. Abrams', 'https://m.imdb.com/name/nm0009190/'), ('Michael Arndt', 'https://m.imdb.com/name/nm1578335/')]","[('J.J. Abrams', 'https://m.imdb.com/name/nm0009190/')]",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Star Wars: Episode VIII - The Last Jedi,https://www.boxofficemojo.com/release/rl2708702721/,620181382.0,712358507.0,1332539889.0,Walt Disney Studios Motion Pictures,220009584.0,4232.0,317000000.0,12/15/2017,4/19/2018,PG-13,152.0,382.0,https://imdb.com/title/tt2527336,"The Star Wars saga continues as new heroes and galactic legends go on an epic adventure, unlocking mysteries of the Force and shocking revelations of the past.",1,6.9,7089.0,84.0,726.0,"[('Daisy Ridley', 'https://m.imdb.com/name/nm5397459/'), ('John Boyega', 'https://m.imdb.com/name/nm3915784/'), ('Mark Hamill', 'https://m.imdb.com/name/nm0000434/'), ('Carrie Fisher', 'https://m.imdb.com/name/nm0000402/'), ('Adam Driver', 'https://m.imdb.com/name/nm3485845/'), ('Oscar Isaac', 'https://m.imdb.com/name/nm1209966/'), ('Andy Serkis', 'https://m.imdb.com/name/nm0785227/'), (""Lupita Nyong'o"", 'https://m.imdb.com/name/nm2143282/'), ('Domhnall Gleeson', 'https://m.imdb.com/name/nm1727304/'), ('Anthony Daniels', 'https://m.imdb.com/name/nm0000355/'), ('Gwendoline Christie', 'https://m.imdb.com/name/nm3729225/'), ('Kelly Marie Tran', 'https://m.imdb.com/name/nm4511652/'), ('Laura Dern', 'https://m.imdb.com/name/nm0000368/'), ('Benicio Del Toro', 'https://m.imdb.com/name/nm0001125/'), ('Frank Oz', 'https://m.imdb.com/name/nm0000568/'), ('Billie Lourd', 'https://m.imdb.com/name/nm6609666/'), ('Joonas Suotamo', 'https://m.imdb.com/name/nm6934058/'), ('Amanda Lawrence', 'https://m.imdb.com/name/nm1054648/')]","[('Rian Johnson', 'https://m.imdb.com/name/nm0426059/'), ('George Lucas', 'https://m.imdb.com/name/nm0000184/')]","[('Rian Johnson', 'https://m.imdb.com/name/nm0426059/')]",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Jurassic World,https://www.boxofficemojo.com/release/rl2371716609/,652270625.0,1018130012.0,1670400637.0,Universal Pictures,208806270.0,4274.0,150000000.0,6/12/2015,11/19/2015,PG-13,124.0,210.0,https://imdb.com/title/tt0369610,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.",1,6.9,1679.0,59.0,707.0,"[('Chris Pratt', 'https://m.imdb.com/name/nm0695435/'), ('Bryce Dallas Howard', 'https://m.imdb.com/name/nm0397171/'), ('Ty Simpkins', 'https://m.imdb.com/name/nm1339223/'), ('Judy Greer', 'https://m.imdb.com/name/nm0339460/'), ('Irrfan Khan', 'https://m.imdb.com/name/nm0451234/'), (""Vincent D'Onofrio"", 'https://m.imdb.com/name/nm0000352/'), ('Nick Robinson', 'https://m.imdb.com/name/nm3538718/'), ('Jake Johnson', 'https://m.imdb.com/name/nm2159926/'), ('Omar Sy', 'https://m.imdb.com/name/nm1082477/'), ('BD Wong', 'https://m.imdb.com/name/nm0000703/'), ('Lauren Lapkus', 'https://m.imdb.com/name/nm1944055/'), ('Brian Tee', 'https://m.imdb.com/name/nm0974575/'), ('Katie McGrath', 'https://m.imdb.com/name/nm2692146/'), ('Andy Buckley', 'https://m.imdb.com/name/nm2952467/'), ('Eric Edelstein', 'https://m.imdb.com/name/nm1468061/'), ('Courtney James Clark', 'https://m.imdb.com/name/nm3083875/'), ('Colby Boothman', 'https://m.imdb.com/name/nm4253352/'), ('Jimmy Fallon', 'https://m.imdb.com/name/nm0266422/')]","[('Rick Jaffa', 'https://m.imdb.com/name/nm0415425/'), ('Amanda Silver', 'https://m.imdb.com/name/nm0798646/'), ('Colin Trevorrow', 'https://m.imdb.com/name/nm1119880/')]","[('Colin Trevorrow', 'https://m.imdb.com/name/nm1119880/')]",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,The Avengers,https://www.boxofficemojo.com/release/rl709199361/,623357910.0,895455078.0,1518812988.0,Walt Disney Studios Motion Pictures,207438708.0,4349.0,220000000.0,5/4/2012,10/4/2012,PG-13,143.0,242.0,https://imdb.com/title/tt0848228,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,1,8.0,2097.0,69.0,759.0,"[('Robert Downey Jr.', 'https://m.imdb.com/name/nm0000375/'), ('Chris Evans', 'https://m.imdb.com/name/nm0262635/'), ('Scarlett Johansson', 'https://m.imdb.com/name/nm0424060/'), ('Jeremy Renner', 'https://m.imdb.com/name/nm0719637/'), ('Mark Ruffalo', 'https://m.imdb.com/name/nm0749263/'), ('Chris Hemsworth', 'https://m.imdb.com/name/nm1165110/'), ('Tom Hiddleston', 'https://m.imdb.com/name/nm1089991/'), ('Clark Gregg', 'https://m.imdb.com/name/nm0163988/'), ('Cobie Smulders', 'https://m.imdb.com/name/nm1130627/'), ('Stellan Skarsgård', 'https://m.imdb.com/name/nm0001745/'), ('Samuel L. Jackson', 'https://m.imdb.com/name/nm0000168/'), ('Gwyneth Paltrow', 'https://m.imdb.com/name/nm0000569/'), ('Paul Bettany', 'https://m.imdb.com/name/nm0079273/'), ('Alexis Denisof', 'https://m.imdb.com/name/nm0219206/'), ('Tina Benko', 'https://m.imdb.com/name/nm0071416/'), ('Jerzy Skolimowski', 'https://m.imdb.com/name/nm0804592/'), ('Kirill Nikiforov', 'https://m.imdb.com/name/nm5011531/'), ('Jeff Wolfe', 'https://m.imdb.com/name/nm0004178/')]","[('Joss Whedon', 'https://m.imdb.com/name/nm0923736/'), ('Zak Penn', 'https://m.imdb.com/name/nm0672015/')]","[('Joss Whedon', 'https://m.imdb.com/name/nm0923736/')]",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Black Panther,https://www.boxofficemojo.com/release/rl2992866817/,700059566.0,646853595.0,1346913161.0,Walt Disney Studios Motion Pictures,202003951.0,4020.0,,2/16/2018,8/9/2018,PG-13,134.0,319.0,https://imdb.com/title/tt1825683,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",1,7.3,3483.0,88.0,521.0,"[('Chadwick Boseman', 'https://m.imdb.com/name/nm1569276/'), ('Michael B. Jordan', 'https://m.imdb.com/name/nm0430107/'), (""Lupita Nyong'o"", 'https://m.imdb.com/name/nm2143282/'), ('Danai Gurira', 'https://m.imdb.com/name/nm1775091/'), ('Martin Freeman', 'https://m.imdb.com/name/nm0293509/'), ('Daniel Kaluuya', 'https://m.imdb.com/name/nm2257207/'), ('Letitia Wright', 'https://m.imdb.com/name/nm4004793/'), ('Winston Duke', 'https://m.imdb.com/name/nm6328300/'), ('Sterling K. Brown', 'https://m.imdb.com/name/nm1250791/'), ('Angela Bassett', 'https://m.imdb.com/name/nm0000291/'), ('Forest Whitaker', 'https://m.imdb.com/name/nm0001845/'), ('Andy Serkis', 'https://m.imdb.com/name/nm0785227/'), ('Florence Kasumba', 'https://m.imdb.com/name/nm0441042/'), ('John Kani', 'https://m.imdb.com/name/nm0434712/'), ('David S. Lee', 'https://m.imdb.com/name/nm1605085/'), ('Nabiyah Be', 'https://m.imdb.com/name/nm8852246/'), ('Isaach De Bankolé', 'https://m.imdb.com/name/nm0207218/'), ('Connie Chiume', 'https://m.imdb.com/name/nm0158448/')]","[('Ryan Coogler', 'https://m.imdb.com/name/nm3363032/'), ('Joe Robert Cole', 'https://m.imdb.com/name/nm1963288/'), ('Stan Lee', 'https://m.imdb.com/name/nm0498278/')]","[('Ryan Coogler', 'https://m.imdb.com/name/nm3363032/')]",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Avengers: Age of Ultron,https://www.boxofficemojo.com/release/rl675644929/,459005868.0,943800000.0,1402805868.0,Walt Disney Studios Motion Pictures,191271109.0,4276.0,250000000.0,5/1/2015,10/8/2015,PG-13,141.0,245.0,https://imdb.com/title/tt2395427,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",1,7.3,1431.0,66.0,705.0,"[('Robert Downey Jr.', 'https://m.imdb.com/name/nm0000375/'), ('Chris Evans', 'https://m.imdb.com/name/nm0262635/'), ('Mark Ruffalo', 'https://m.imdb.com/name/nm0749263/'), ('Chris Hemsworth', 'https://m.imdb.com/name/nm1165110/'), ('Scarlett Johansson', 'https://m.imdb.com/name/nm0424060/'), ('Jeremy Renner', 'https://m.imdb.com/name/nm0719637/'), ('James Spader', 'https://m.imdb.com/name/nm0000652/'), ('Samuel L. Jackson', 'https://m.imdb.com/name/nm0000168/'), ('Don Cheadle', 'https://m.imdb.com/name/nm0000332/'), ('Aaron Taylor-Johnson', 'https://m.imdb.com/name/nm1093951/'), ('Elizabeth Olsen', 'https://m.imdb.com/name/nm0647634/'), ('Paul Bettany', 'https://m.imdb.com/name/nm0079273/'), ('Cobie Smulders', 'https://m.imdb.com/name/nm1130627/'), ('Anthony Mackie', 'https://m.imdb.com/name/nm1107001/'), ('Hayley Atwell', 'https://m.imdb.com/name/nm2017943/'), ('Idris Elba', 'https://m.imdb.com/name/nm0252961/'), ('Linda Cardellini', 'https://m.imdb.com/name/nm0004802/'), ('Stellan Skarsgård', 'https://m.imdb.com/name/nm0001745/')]","[('Joss Whedon', 'https://m.imdb.com/name/nm0923736/'), ('Stan Lee', 'https://m.imdb.com/name/nm0498278/'), ('Jack Kirby', 'https://m.imdb.com/name/nm0456158/')]","[('Joss Whedon', 'https://m.imdb.com/name/nm0923736/')]",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,The Lion King,https://www.boxofficemojo.com/release/rl3321923073/,543638043.0,1113305351.0,1656943394.0,Walt Disney Studios Motion Pictures,191770759.0,4725.0,260000000.0,7/19/2019,12/5/2019,PG,118.0,168.0,https://imdb.com/title/tt6105098,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.",1,6.8,3109.0,55.0,389.0,"[('Donald Glover', 'https://m.imdb.com/name/nm2255973/'), ('Beyoncé', 'https://m.imdb.com/name/nm0461498/'), ('Seth Rogen', 'https://m.imdb.com/name/nm0736622/'), ('Chiwetel Ejiofor', 'https://m.imdb.com/name/nm0252230/'), ('John Oliver', 'https://m.imdb.com/name/nm1056659/'), ('James Earl Jones', 'https://m.imdb.com/name/nm0000469/'), ('John Kani', 'https://m.imdb.com/name/nm0434712/'), ('Alfre Woodard', 'https://m.imdb.com/name/nm0005569/'), ('JD McCrary', 'https://m.imdb.com/name/nm6556377/'), ('Shahadi Wright Joseph', 'https://m.imdb.com/name/nm8630978/'), ('Penny Johnson Jerald', 'https://m.imdb.com/name/nm0425982/'), ('Keegan-Michael Key', 'https://m.imdb.com/name/nm1221047/'), ('Eric André', 'https://m.imdb.com/name/nm2765191/'), ('Florence Kasumba', 'https://m.imdb.com/name/nm0441042/'), ('Billy Eichner', 'https://m.imdb.com/name/nm2813994/'), ('Amy Sedaris', 'https://m.imdb.com/name/nm0781238/'), ('Chance the Rapper', 'https://m.imdb.com/name/nm5692878/'), ('Josh McCrary', 'https://m.imdb.com/name/nm7697310/')]","[('Jeff Nathanson', 'https://m.imdb.com/name/nm0622288/'), ('Irene Mecchi', 'https://m.imdb.com/name/nm0575293/'), ('Jonathan Roberts', 'https://m.imdb.com/name/nm0731271/')]","[('Jon Favreau', 'https://m.imdb.com/name/nm0269463/')]",0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
